project_role_id,project_id,personnel_id,role_code,key_personnel,funding_award_id,source_system
PROJECT-V210086:V00421926:PI,PROJECT-V210086,V00421926,PI,Y,,Banner Grant Listing Report
PROJECT-V210096:V00872442:PI,PROJECT-V210096,V00872442,PI,Y,,Banner Grant Listing Report
PROJECT-V210101:V00604685:PI,PROJECT-V210101,V00604685,PI,Y,,Banner Grant Listing Report
PROJECT-V210116:V00485099:PI,PROJECT-V210116,V00485099,PI,Y,,Banner Grant Listing Report
PROJECT-V210124:V00983683:PI,PROJECT-V210124,V00983683,PI,Y,,Banner Grant Listing Report
PROJECT-V210147:V00510140:PI,PROJECT-V210147,V00510140,PI,Y,,Banner Grant Listing Report
PROJECT-V210148:V00006377:PI,PROJECT-V210148,V00006377,PI,Y,,Banner Grant Listing Report
PROJECT-V210149:V00006377:PI,PROJECT-V210149,V00006377,PI,Y,,Banner Grant Listing Report
PROJECT-V210150:V00511005:PI,PROJECT-V210150,V00511005,PI,Y,,Banner Grant Listing Report
PROJECT-V210155:V00875583:PI,PROJECT-V210155,V00875583,PI,Y,,Banner Grant Listing Report
PROJECT-V210178:V00421926:PI,PROJECT-V210178,V00421926,PI,Y,,Banner Grant Listing Report
PROJECT-V210183:V00465203:PI,PROJECT-V210183,V00465203,PI,Y,,Banner Grant Listing Report
PROJECT-V210196:V00711123:PI,PROJECT-V210196,V00711123,PI,Y,,Banner Grant Listing Report
PROJECT-V210198:V00096579:PI,PROJECT-V210198,V00096579,PI,Y,,Banner Grant Listing Report
PROJECT-V210199:V00464574:PI,PROJECT-V210199,V00464574,PI,Y,,Banner Grant Listing Report
PROJECT-V210205:V00839342:PI,PROJECT-V210205,V00839342,PI,Y,,Banner Grant Listing Report
PROJECT-V210215:V00006377:PI,PROJECT-V210215,V00006377,PI,Y,,Banner Grant Listing Report
PROJECT-V210222:V00009250:PI,PROJECT-V210222,V00009250,PI,Y,,Banner Grant Listing Report
PROJECT-V210223:V00314407:PI,PROJECT-V210223,V00314407,PI,Y,,Banner Grant Listing Report
PROJECT-V210224:V00233579:PI,PROJECT-V210224,V00233579,PI,Y,,Banner Grant Listing Report
PROJECT-V210228:V00450667:PI,PROJECT-V210228,V00450667,PI,Y,,Banner Grant Listing Report
PROJECT-V210240:V00006377:PI,PROJECT-V210240,V00006377,PI,Y,,Banner Grant Listing Report
PROJECT-V210244:V00314407:PI,PROJECT-V210244,V00314407,PI,Y,,Banner Grant Listing Report
PROJECT-V210251:V00230357:PI,PROJECT-V210251,V00230357,PI,Y,,Banner Grant Listing Report
PROJECT-V210253:V00446038:PI,PROJECT-V210253,V00446038,PI,Y,,Banner Grant Listing Report
PROJECT-V210255:V00690635:PI,PROJECT-V210255,V00690635,PI,Y,,Banner Grant Listing Report
PROJECT-V210258:V00402620:PI,PROJECT-V210258,V00402620,PI,Y,,Banner Grant Listing Report
PROJECT-V210266:V00664431:PI,PROJECT-V210266,V00664431,PI,Y,,Banner Grant Listing Report
PROJECT-V210267:V00664431:PI,PROJECT-V210267,V00664431,PI,Y,,Banner Grant Listing Report
PROJECT-V210268:V00809701:PI,PROJECT-V210268,V00809701,PI,Y,,Banner Grant Listing Report
PROJECT-V210272:V00398189:PI,PROJECT-V210272,V00398189,PI,Y,,Banner Grant Listing Report
PROJECT-V210275:V00602850:PI,PROJECT-V210275,V00602850,PI,Y,,Banner Grant Listing Report
PROJECT-V210278:V00618581:PI,PROJECT-V210278,V00618581,PI,Y,,Banner Grant Listing Report
PROJECT-V210282:V01150663:PI,PROJECT-V210282,V01150663,PI,Y,,Banner Grant Listing Report
PROJECT-V210283:V00087132:PI,PROJECT-V210283,V00087132,PI,Y,,Banner Grant Listing Report
PROJECT-V210288:V00328425:PI,PROJECT-V210288,V00328425,PI,Y,,Banner Grant Listing Report
PROJECT-V210289:V00004271:PI,PROJECT-V210289,V00004271,PI,Y,,Banner Grant Listing Report
PROJECT-V210292:V00402620:PI,PROJECT-V210292,V00402620,PI,Y,,Banner Grant Listing Report
PROJECT-V210293:V00402620:PI,PROJECT-V210293,V00402620,PI,Y,,Banner Grant Listing Report
PROJECT-V210296:V00006950:PI,PROJECT-V210296,V00006950,PI,Y,,Banner Grant Listing Report
PROJECT-V210297:V00006746:PI,PROJECT-V210297,V00006746,PI,Y,,Banner Grant Listing Report
PROJECT-V210303:V00848443:PI,PROJECT-V210303,V00848443,PI,Y,,Banner Grant Listing Report
PROJECT-V210309:V00314407:PI,PROJECT-V210309,V00314407,PI,Y,,Banner Grant Listing Report
PROJECT-V210311:V00204316:PI,PROJECT-V210311,V00204316,PI,Y,,Banner Grant Listing Report
PROJECT-V210316:V00602850:PI,PROJECT-V210316,V00602850,PI,Y,,Banner Grant Listing Report
PROJECT-V210318:V00596441:PI,PROJECT-V210318,V00596441,PI,Y,,Banner Grant Listing Report
PROJECT-V210323:V00160407:PI,PROJECT-V210323,V00160407,PI,Y,,Banner Grant Listing Report
PROJECT-V210332:V00538807:PI,PROJECT-V210332,V00538807,PI,Y,,Banner Grant Listing Report
PROJECT-V210342:V00618581:PI,PROJECT-V210342,V00618581,PI,Y,,Banner Grant Listing Report
PROJECT-V210351:V00602850:PI,PROJECT-V210351,V00602850,PI,Y,,Banner Grant Listing Report
PROJECT-V210353:V00998782:PI,PROJECT-V210353,V00998782,PI,Y,,Banner Grant Listing Report
PROJECT-V210357:V00398189:PI,PROJECT-V210357,V00398189,PI,Y,,Banner Grant Listing Report
PROJECT-V210358:V00465203:PI,PROJECT-V210358,V00465203,PI,Y,,Banner Grant Listing Report
PROJECT-V210361:V00160407:PI,PROJECT-V210361,V00160407,PI,Y,,Banner Grant Listing Report
PROJECT-V210371:V00377752:PI,PROJECT-V210371,V00377752,PI,Y,,Banner Grant Listing Report
PROJECT-V210374:V00402447:PI,PROJECT-V210374,V00402447,PI,Y,,Banner Grant Listing Report
PROJECT-V210382:V01047842:PI,PROJECT-V210382,V01047842,PI,Y,,Banner Grant Listing Report
PROJECT-V210392:V00008550:PI,PROJECT-V210392,V00008550,PI,Y,,Banner Grant Listing Report
PROJECT-V210395:V00202874:PI,PROJECT-V210395,V00202874,PI,Y,,Banner Grant Listing Report
PROJECT-V210407:V00604694:PI,PROJECT-V210407,V00604694,PI,Y,,Banner Grant Listing Report
PROJECT-V210415:V00489139:PI,PROJECT-V210415,V00489139,PI,Y,,Banner Grant Listing Report
PROJECT-V210428:V00470066:PI,PROJECT-V210428,V00470066,PI,Y,,Banner Grant Listing Report
PROJECT-V210436:V00412889:PI,PROJECT-V210436,V00412889,PI,Y,,Banner Grant Listing Report
PROJECT-V210446:V00026363:PI,PROJECT-V210446,V00026363,PI,Y,,Banner Grant Listing Report
PROJECT-V210449:V00742471:PI,PROJECT-V210449,V00742471,PI,Y,,Banner Grant Listing Report
PROJECT-V210457:V00742471:PI,PROJECT-V210457,V00742471,PI,Y,,Banner Grant Listing Report
PROJECT-V210458:V00742471:PI,PROJECT-V210458,V00742471,PI,Y,,Banner Grant Listing Report
PROJECT-V210461:V01150663:PI,PROJECT-V210461,V01150663,PI,Y,,Banner Grant Listing Report
PROJECT-V210468:V00550017:PI,PROJECT-V210468,V00550017,PI,Y,,Banner Grant Listing Report
PROJECT-V210473:V00412889:PI,PROJECT-V210473,V00412889,PI,Y,,Banner Grant Listing Report
PROJECT-V210479:V00718360:PI,PROJECT-V210479,V00718360,PI,Y,,Banner Grant Listing Report
PROJECT-V210483:V01130929:PI,PROJECT-V210483,V01130929,PI,Y,,Banner Grant Listing Report
PROJECT-V210488:V00779206:PI,PROJECT-V210488,V00779206,PI,Y,,Banner Grant Listing Report
PROJECT-V210492:V01130929:PI,PROJECT-V210492,V01130929,PI,Y,,Banner Grant Listing Report
PROJECT-V210494:V00604685:PI,PROJECT-V210494,V00604685,PI,Y,,Banner Grant Listing Report
PROJECT-V210498:V00292089:PI,PROJECT-V210498,V00292089,PI,Y,,Banner Grant Listing Report
PROJECT-V210500:V00762453:PI,PROJECT-V210500,V00762453,PI,Y,,Banner Grant Listing Report
PROJECT-V210501:V00096425:PI,PROJECT-V210501,V00096425,PI,Y,,Banner Grant Listing Report
PROJECT-V210504:V00667885:PI,PROJECT-V210504,V00667885,PI,Y,,Banner Grant Listing Report
PROJECT-V210509:V00605450:PI,PROJECT-V210509,V00605450,PI,Y,,Banner Grant Listing Report
PROJECT-V210511:V00292089:PI,PROJECT-V210511,V00292089,PI,Y,,Banner Grant Listing Report
PROJECT-V210514:V00026363:PI,PROJECT-V210514,V00026363,PI,Y,,Banner Grant Listing Report
PROJECT-V210519:V00489476:PI,PROJECT-V210519,V00489476,PI,Y,,Banner Grant Listing Report
PROJECT-V210526:V00007597:PI,PROJECT-V210526,V00007597,PI,Y,,Banner Grant Listing Report
PROJECT-V210545:V00423847:PI,PROJECT-V210545,V00423847,PI,Y,,Banner Grant Listing Report
PROJECT-V210553:V00006579:PI,PROJECT-V210553,V00006579,PI,Y,,Banner Grant Listing Report
